names,playerNumber
RasmusKristensen,13
NathanielBrown,21
AurélioButa,24
NnamdiCollins,34
FoussenyDoumbia,41
OscarHöjlund,6
FarèsChaïbi,8
EllyesSkhiri,15
HugoLarsson,16
MahmoudDahoud,18
RitsuDōan,20
TimothyChandler,22
MarioGötze,27
CanUzun,42
NoahFenyö,47
AnsgarKnauff,7
JonathanBurkardt,9
ElyeWahi,17
Jean-MattéoBahoya,19
MichyBatshuayi,30
JessicNgankam,32
GregorKobel,1
PatrickDrewes,30
SilasOstrzinski,31
AlexanderMeyer,33
YanCouto,2
WaldemarAnton,3
NicoSchlotterbeck,4
RamyBensebaini,5
DanielSvensson,24
NiklasSüle,25
JulianRyerson,26
AarónAnselmino,28
FilippoMané,39
AlmugeraKabar,42
SalihÖzcan,6
JobeBellingham,7
FelixNmecha,8
JulianBrandt,10
PascalGroß,13
CarneyChukwuemeka,17
MarcelSabitzer,20
EmreCan,23
SerhouGuirassy,9
MaximilianBeier,14
JulienDuranville,16
FabioSilva,21
KarimAdeyemi,27
ColeCampbell,37
NoahAtubolu,1
FlorianMüller,21
JannikHuth,24
PhilippLienhart,3
AnthonyJung,5
LukasKübler,17
MatthiasGinter,28
PhilippTreu,29
ChristianGünter,30
JordyMakengo,33
MaxRosenfelder,37
BrunoOgbus,43
PatrickOsterhage,6
MaximilianEggestein,8
Daniel KofiKyereh,11
YuitoSuzuki,14
NiklasBeste,19
NicolasHöfler,27
VincenzoGrifo,32
JohanManzambi,44
DerryScherhant,7
LucasHöler,9
ErenDinkçi,18
JuniorAdamu,20
CyriaqueIrié,22
MaximilianPhilipp,26
IgorMatanović,31
LasseRieß,1
RobinZentner,27
DanielBatz,33
PhillippMwene,2
MaximLeitsch,5
StefanBell,16
KaseyBos,18
AnthonyCaci,19
Dannyda Costa,21
KonstantinSchopp,23
AndreasHanche-Olsen,25
SilvanWidmer,30
DominikKohr,31
MaximDal,47
KacperPotulski,48
KaishuSano,6
Jae-sungLee,7
PaulNebel,8
ArnaudNordin,9
NadiemAmiri,10
LennardMaloney,15
NikolasVeratschnig,22
SotaKawasaki,24
DanielGleiber,42
ArmindoSieb,11
WilliamBøving,14
BenedictHollerbach,17
BenBobzien,37
NelsonWeiper,44
PéterGulácsi,1
LeopoldZingerle,25
MaartenVandevoordt,26
WilliOrbán,4
El ChadailleBitshiabu,5
LukasKlostermann,16
KostaNedeljkovic,19
DavidRaum,22
CastelloLukeba,23
MaxFinkgräfe,35
BenjaminHenrichs,39
EzechielBanzuzi,6
AmadouHaidara,8
NicolasSeiwald,13
ChristophBaumgartner,14
RidleBaku,17
AssanOuédraogo,20
XaverSchlager,24
AndrijaMaksimović,33
JoyeuxMasanka Bungi,42
KevinKampl,44
ViggoGebel,47
AntonioNusa,7
JohanBakayoko,9
ConradHarder,11
TidiamGomis,27
TimoWerner,36
Rômulo,40
YanDiomande,49
KarlHein,13
MarkusKolke,25
MioBackhaus,30
StefanSmarkalev,37
OlivierDeman,2
YukinariSugawara,3
NiklasStark,4
AmosPieper,5
MitchellWeiser,8
JuliánMalatini,22
IsaacSchmidt,23
FelixAgu,27
KarimCoulibaly,31
MarcoFriedl,32
MickSchmetgens,33
MaximilianWöber,39
JensStage,6
LeonardoBittencourt,10
SenneLynen,14
CameronPuertas,18
RomanoSchmid,20
IsakHansen-Aaröen,21
PatriceČović,24
SkellyAlvero,28
WesleyAdeh,34
SamuelMbangula,7
KekeTopp,9
JustinNjinmah,11
MarcoGrüll,17
SalimMusah,29
VictorBoniface,44
FabianBredlow,1
StefanDrljača,21
AlexanderNübel,33
FlorianHellstern,44
AmeenAl-Dakhil,2
RamonHendriks,3
JoshaVagnoman,4
MaximilianMittelstädt,7
LucaJaquez,14
PascalStenzel,15
LeonidasStergiou,20
LorenzAssignon,22
Dan-AxelZagadou,23
JeffChabot,24
FinnJeltsch,29
YannikKeitel,5
AngeloStiller,6
ChrisFührich,10
BilalEl Khannouss,11
SilasKatompa Mvumpa,13
AtakanKarazor,16
NoahDarvich,19
NikolasNartey,28
ChemaAndrés,30
MirzaĆatović,35
TiagoTomás,8
ErmedinDemirović,9
JustinDiehl,17
JamieLeweling,18
DenizUndav,26
BadredineBouanani,27
LazarJovanović,45
JonasOmlin,1
TobiasSippel,21
MoritzNicolas,33
TiagoPereira Cardoso,42
FabioChiarodia,2
KevinDiks,4
MarvinFriedrich,5
LucaNetz,20
LukasUllrich,26
JoeScally,29
NicoElvedi,30
YannikEngelhardt,6
KevinStöger,7
FranckHonorat,9
FlorianNeuhaus,10
GiovanniReyna,13
PhilippSander,16
JensCastrop,17
NathanNgoumou,19
OscarFraulo,22
RobinHack,25
RoccoReitz,27
CharlesHerrmann,34
WaelMohya,36
NiklasSwider,39
TimKleindienst,11
HarisTabaković,15
ShutoMachino,18
Grant-LeonRanos,28
